UID,1,2,3,4,5,6,7,8,9,details
1,1,2,3,12,4,3,3,2,1,3
2,1,2,3,12,4,3,3,2,1,3
3,1,2,3,12,4,3,3,2,1,3
4,1,2,3,12,4,3,3,2,1,3
5,1,2,3,12,5,3,3,2,1,3
6,1,2,3,12,5,3,3,2,1,3
7,1,2,3,12,5,3,3,2,1,3
8,1,2,3,12,5,3,3,2,1,3
9,1,2,3,12,5,3,3,2,1,3
10,1,2,3,12,5,3,3,2,1,3
11,1,4,5,12,5,5,5,4,1,3
12,1,4,5,12,5,5,5,4,1,3
13,1,4,5,12,5,5,5,4,1,3
14,1,4,5,12,5,5,5,4,1,3
15,1,4,5,12,6,5,5,4,1,3
16,1,4,5,12,6,5,5,4,1,3
17,1,4,5,12,6,5,5,4,1,3
18,1,4,5,12,6,5,5,4,1,3
19,1,4,5,12,6,5,5,4,1,3
20,1,4,5,12,6,5,5,4,1,3
21,11,2,3,12,6,3,3,2,11,3
22,11,2,3,12,6,3,3,2,11,3
23,11,2,3,12,6,3,3,2,11,3
24,11,2,3,12,6,3,3,2,11,3
25,11,2,3,12,13,3,3,2,11,3
26,11,2,3,12,13,3,3,2,11,3
27,11,2,3,12,13,3,3,2,11,3
28,11,2,3,2,13,3,3,2,11,3
29,11,2,3,2,13,3,3,2,11,3
30,11,2,3,2,13,3,3,2,11,3
31,11,4,5,2,13,5,5,4,11,3
32,11,4,5,2,13,5,5,4,11,3
33,11,4,5,2,13,5,5,4,11,3
34,11,4,5,2,13,5,5,4,11,3
35,11,4,5,2,13,5,5,4,11,3
36,11,4,5,2,13,5,5,4,11,3
37,11,4,5,2,13,5,5,4,11,3
38,11,4,5,2,13,5,5,4,11,3
39,11,4,5,2,13,5,5,4,11,3
40,11,4,5,2,13,5,5,4,11,3
